Date,Open,High,Low,Close,Adj Close,Volume
2019-06-10,34.849998,34.869999,34.110001,34.630001,33.372448,18283400
2019-06-11,34.849998,34.980000,34.240002,34.799999,33.536274,29136500
2019-06-12,34.799999,35.119999,34.470001,34.599998,33.343533,17637000
2019-06-13,34.549999,34.580002,33.709999,33.980000,32.746048,36877200
2019-06-14,33.900002,34.070000,33.480000,33.990002,32.755695,18775100
2019-06-17,33.900002,34.320000,33.810001,33.950001,32.717144,15638100
2019-06-18,34.349998,34.830002,34.180000,34.830002,33.565197,22791000
2019-06-19,34.639999,35.490002,34.470001,35.380001,34.095211,23278900
2019-06-21,35.580002,36.180000,35.500000,36.180000,34.866165,27455000
2019-06-24,36.240002,36.500000,35.790001,36.099998,34.789066,22715800
2019-06-25,36.000000,36.230000,35.480000,35.650002,34.355412,23790600
2019-06-26,35.849998,36.500000,35.730000,36.500000,35.174541,32869700
2019-06-27,36.200001,36.430000,35.700001,36.250000,34.933624,20630300
2019-06-28,36.450001,36.590000,36.139999,36.259998,34.943256,17615100
2019-07-01,36.770000,36.770000,35.939999,36.080002,34.784191,15922800
2019-07-02,36.049999,36.320000,35.709999,35.950001,34.658855,18830100
2019-07-03,35.700001,36.650002,35.630001,36.570000,35.256584,17651400
2019-07-04,36.770000,37.500000,36.709999,36.990002,35.661499,23138400
2019-07-05,36.840000,37.450001,36.669998,37.400002,36.056774,14345800
2019-07-08,37.470001,37.500000,37.060001,37.299999,35.960361,9918400
2019-07-10,37.529999,37.720001,36.950001,37.200001,35.863960,22765400
2019-07-11,36.970001,37.150002,36.580002,37.150002,35.815754,15289000
2019-07-12,37.450001,37.459999,36.459999,36.459999,35.150532,18723300
2019-07-15,36.680000,36.700001,36.119999,36.360001,35.054123,16642300
2019-07-16,36.400002,36.650002,36.209999,36.500000,35.189095,17844700
2019-07-17,36.590000,36.919998,36.380001,36.400002,35.092693,23122700
2019-07-18,36.470001,37.369999,36.459999,37.369999,36.027847,16209600
2019-07-19,37.080002,37.279999,36.400002,36.400002,35.092693,17145500
2019-07-22,36.689999,37.250000,36.619999,37.020000,35.690422,18663100
2019-07-23,37.250000,37.549999,36.730000,37.380001,36.037487,21128500
2019-07-24,37.500000,37.750000,37.130001,37.349998,36.008564,14689500
